,x,y,PAM50,Cohort,Class,color
BRCA-A425-01A,-5.76905098520327,-2.89796740643417,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A0EQ-01A,15.5660997025788,-3.05773338263568,Her2,TCGA,Her2_TCGA,#B2DF8A
BRCA-A12C-01A,-13.6223169975936,-1.11690617315942,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A04X-01A,8.19750824823711,1.46867018666306,Her2,TCGA,Her2_TCGA,#B2DF8A
BRCA-A0JE-01A,4.02612142994839,-10.6331961072566,Her2,TCGA,Her2_TCGA,#B2DF8A
BRCA-A0JM-01A,3.37410214811485,1.18517749410809,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A0D1-01A,9.98151586821132,13.2600694301638,Her2,TCGA,Her2_TCGA,#B2DF8A
BRCA-A12D-01A,4.72478053129378,-9.74160131996024,Her2,TCGA,Her2_TCGA,#B2DF8A
BRCA-A0EY-01A,1.33586575685838,1.1574750986823,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A0SM-01A,-5.05475112583191,-0.839179263561626,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A08H-01A,5.07852253535173,-22.6155421369175,Normal,TCGA,Normal_TCGA,#CAB2D6
BRCA-A12T-01A,4.09267909726758,2.11667871066881,Her2,TCGA,Her2_TCGA,#B2DF8A
BRCA-A3M8-01A,-3.11843162572201,9.96017717928128,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A0FV-01A,2.00490854067544,5.49906315923296,Her2,TCGA,Her2_TCGA,#B2DF8A
BRCA-A12Z-01A,3.90417115233609,10.1219606119117,Her2,TCGA,Her2_TCGA,#B2DF8A
BRCA-A0A7-01A,8.91823473780847,-15.8005135914048,Her2,TCGA,Her2_TCGA,#B2DF8A
BRCA-A09N-01A,0.0188429279896864,8.29216473456822,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A135-01A,8.19516100353859,-5.53745222855203,Her2,TCGA,Her2_TCGA,#B2DF8A
BRCA-A04C-01A,13.5921490450765,5.45085300656452,Her2,TCGA,Her2_TCGA,#B2DF8A
BRCA-A137-01A,4.46058406616113,7.24603399001492,Her2,TCGA,Her2_TCGA,#B2DF8A
BRCA-A27N-01A,2.27171519454911,-5.84925458640882,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A1XT-01A,8.3496691506203,-8.40347565753978,Her2,TCGA,Her2_TCGA,#B2DF8A
BRCA-A0FT-01A,-1.90876983859212,1.93457715466808,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A278-01A,9.37338490466152,-7.37876528824546,Her2,TCGA,Her2_TCGA,#B2DF8A
BRCA-A0AJ-01A,13.7473726232311,3.7889950588268,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A099-01A,-11.7180070106346,8.14679594868557,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A1HF-01A,12.3558087702739,-4.88874478657485,Her2,TCGA,Her2_TCGA,#B2DF8A
BRCA-A3YX-01A,-1.39627015779865,9.31215550576666,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A12P-01A,10.1145010170056,-2.92453919360928,Her2,TCGA,Her2_TCGA,#B2DF8A
BRCA-A1HK-01A,9.14324754897004,8.12859315389885,Her2,TCGA,Her2_TCGA,#B2DF8A
BRCA-A1IW-01A,-2.92501285514014,-3.87084186262618,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A12Q-01A,1.34626575004405,-4.28628194695149,Her2,TCGA,Her2_TCGA,#B2DF8A
BRCA-A140-01A,-4.55098019921674,7.02057750416404,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A07I-01A,3.7168368190136,-1.84756882039404,Her2,TCGA,Her2_TCGA,#B2DF8A
BRCA-A73Y-01A,5.0101339794659,-13.9059218821618,Basal,TCGA,Basal_TCGA,#A6CEE3
